,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Bin Age
55,33,No,Travel_Frequently,515,Research & Development,Near by,Higher Secondary,Life Sciences,73,Poor,Female,98,Moderate,Experienced,Research Director,Excellent,Single,13458,15146,1,Yes,12,3,Best,No,15,1,Best,15,14,8,12,31-45
56,35,No,Travel_Frequently,853,Sales,Far,Doctorate,Life Sciences,74,Good,Male,71,Moderate,Experienced,Sales Executive,Poor,Married,9069,11031,1,No,22,4,Excellent,Low,9,3,Good,9,8,1,8,31-45
57,35,No,Travel_Rarely,1142,Research & Development,Faraway,Masters,Medical,75,Best,Female,30,Moderate,Beginner,Laboratory Technician,Poor,Married,4014,16002,3,Yes,15,3,Best,Low,4,3,Best,2,2,2,2,31-45
58,31,No,Travel_Rarely,655,Research & Development,Near by,Masters,Life Sciences,76,Excellent,Male,48,Moderate,Intermediate,Laboratory Technician,Excellent,Divorced,5915,9528,3,No,22,4,Excellent,Low,10,3,Good,7,7,1,7,31-45
59,37,No,Travel_Rarely,1115,Research & Development,Near by,Masters,Life Sciences,77,Poor,Male,51,Low,Intermediate,Manufacturing Director,Best,Divorced,5993,2689,1,No,18,3,Best,Low,7,2,Excellent,7,5,0,7,31-45
60,32,No,Travel_Rarely,427,Research & Development,Near by,Bacherlors,Medical,78,Poor,Male,33,Moderate,Intermediate,Manufacturing Director,Excellent,Married,6162,10877,1,Yes,22,4,Good,Low,9,3,Best,9,8,7,8,31-45
61,38,No,Travel_Frequently,653,Research & Development,Faraway,Doctorate,Life Sciences,79,Excellent,Female,50,Moderate,Intermediate,Laboratory Technician,Excellent,Single,2406,5456,1,No,11,3,Excellent,No,10,2,Best,10,3,9,9,31-45
62,50,No,Travel_Rarely,989,Research & Development,Near by,Higher Secondary,Medical,80,Good,Female,43,Low,Expert,Research Director,Best,Divorced,18740,16701,5,Yes,12,3,Excellent,Low,29,2,Good,27,3,13,8,46-60
63,59,No,Travel_Rarely,1435,Sales,Faraway,Bacherlors,Life Sciences,81,Poor,Female,99,Moderate,Experienced,Sales Executive,Poor,Single,7637,2354,7,No,11,3,Excellent,No,28,3,Good,21,16,7,9,46-60
64,36,No,Travel_Rarely,1223,Research & Development,Near by,Bacherlors,Technical Degree,83,Best,Female,59,Moderate,Experienced,Healthcare Representative,Best,Divorced,10096,8202,1,No,13,3,Good,High,17,2,Best,17,14,12,8,31-45
65,55,No,Travel_Rarely,836,Research & Development,Near by,Bacherlors,Medical,84,Excellent,Female,33,Moderate,Advanced,Manager,Best,Divorced,14756,19730,2,Yes,14,3,Best,High,21,2,Best,5,0,0,2,46-60
66,36,No,Travel_Frequently,1195,Research & Development,Far,Bacherlors,Life Sciences,85,Good,Male,95,Low,Intermediate,Manufacturing Director,Good,Single,6499,22656,1,No,13,3,Best,No,6,3,Best,6,5,0,3,31-45
67,45,No,Travel_Rarely,1339,Research & Development,Near by,Bacherlors,Life Sciences,86,Good,Male,59,Moderate,Experienced,Research Scientist,Poor,Divorced,9724,18787,2,No,17,3,Best,Low,25,2,Best,1,0,0,0,31-45
68,35,No,Travel_Frequently,664,Research & Development,Near by,Bacherlors,Medical,88,Good,Male,79,Moderate,Beginner,Research Scientist,Poor,Married,2194,5868,4,No,13,3,Excellent,Low,5,2,Good,3,2,1,2,31-45
69,36,Yes,Travel_Rarely,318,Research & Development,Near by,Bacherlors,Medical,90,Excellent,Male,79,Low,Beginner,Research Scientist,Best,Married,3388,21777,0,Yes,17,3,Poor,Low,2,0,Good,1,0,0,0,31-45
70,59,No,Travel_Frequently,1225,Sales,Near by,High School,Life Sciences,91,Poor,Female,57,Low,Intermediate,Sales Executive,Best,Single,5473,24668,7,No,11,3,Excellent,No,20,2,Good,4,3,1,3,46-60
71,29,No,Travel_Rarely,1328,Research & Development,Near by,Bacherlors,Life Sciences,94,Best,Male,76,Moderate,Beginner,Research Scientist,Good,Married,2703,4956,0,No,23,4,Excellent,Low,6,3,Best,5,4,0,4,18-30
72,31,No,Travel_Rarely,1082,Research & Development,Near by,Masters,Medical,95,Best,Male,87,Moderate,Beginner,Research Scientist,Good,Single,2501,18775,1,No,17,3,Good,No,1,4,Best,1,1,1,0,31-45
73,32,No,Travel_Rarely,548,Research & Development,Near by,Bacherlors,Life Sciences,96,Good,Male,66,Moderate,Intermediate,Research Scientist,Good,Married,6220,7346,1,No,17,3,Good,Medium,10,3,Best,10,4,0,9,31-45
74,36,No,Travel_Rarely,132,Research & Development,Near by,Bacherlors,Life Sciences,97,Good,Female,55,High,Beginner,Laboratory Technician,Excellent,Married,3038,22002,3,No,12,3,Good,No,5,3,Best,1,0,0,0,31-45
75,31,No,Travel_Rarely,746,Research & Development,Near by,Masters,Life Sciences,98,Best,Female,61,Moderate,Intermediate,Manufacturing Director,Excellent,Single,4424,20682,1,No,23,4,Excellent,No,11,2,Best,11,7,1,8,31-45
76,35,No,Travel_Rarely,776,Sales,Near by,Masters,Marketing,100,Best,Male,32,Low,Intermediate,Sales Executive,Poor,Single,4312,23016,0,No,14,3,Good,No,16,2,Best,15,13,2,8,31-45
77,45,No,Travel_Rarely,193,Research & Development,Near by,Masters,Other,101,Excellent,Male,52,Moderate,Experienced,Research Director,Poor,Married,13245,15067,4,Yes,14,3,Good,No,17,3,Excellent,0,0,0,0,31-45
78,37,No,Travel_Rarely,397,Research & Development,Near by,Masters,Medical,102,Poor,Male,30,Moderate,Experienced,Research Director,Best,Single,13664,25258,4,No,13,3,Poor,No,16,3,Excellent,5,2,0,2,31-45
79,46,No,Travel_Rarely,945,Human Resources,Near by,Higher Secondary,Medical,103,Good,Male,80,Moderate,Intermediate,Human Resources,Good,Divorced,5021,10425,8,Yes,22,4,Excellent,Low,16,2,Best,4,2,0,2,46-60
80,30,No,Travel_Rarely,852,Research & Development,Near by,High School,Life Sciences,104,Excellent,Male,55,Low,Intermediate,Laboratory Technician,Excellent,Married,5126,15998,1,Yes,12,3,Best,Medium,10,1,Good,10,8,3,0,18-30
81,35,No,Travel_Rarely,1214,Research & Development,Near by,Bacherlors,Medical,105,Good,Male,30,Low,Beginner,Research Scientist,Best,Single,2859,26278,1,No,18,3,Poor,No,6,3,Best,6,4,0,4,31-45
82,55,No,Travel_Rarely,111,Sales,Near by,Higher Secondary,Life Sciences,106,Poor,Male,70,Moderate,Experienced,Sales Executive,Excellent,Married,10239,18092,3,No,14,3,Excellent,Low,24,4,Best,1,0,1,0,46-60
83,38,No,Non-Travel,573,Research & Development,Near by,Bacherlors,Medical,107,Good,Female,79,Very Low,Intermediate,Research Scientist,Excellent,Divorced,5329,15717,7,Yes,12,3,Excellent,High,17,3,Best,13,11,1,9,31-45
84,34,No,Travel_Rarely,1153,Research & Development,Near by,Higher Secondary,Medical,110,Poor,Male,94,Moderate,Intermediate,Manufacturing Director,Good,Married,4325,17736,1,No,15,3,Best,No,5,2,Best,5,2,1,3,31-45
85,56,No,Travel_Rarely,1400,Research & Development,Near by,Bacherlors,Life Sciences,112,Excellent,Male,49,Very Low,Experienced,Manufacturing Director,Excellent,Single,7260,21698,4,No,11,3,Poor,No,37,3,Good,6,4,0,2,46-60
86,23,No,Travel_Rarely,541,Sales,Near by,High School,Technical Degree,113,Best,Male,62,Moderate,Beginner,Sales Representative,Poor,Divorced,2322,9518,3,No,13,3,Best,Low,3,3,Best,0,0,0,0,18-30
87,51,No,Travel_Rarely,432,Research & Development,Near by,Masters,Life Sciences,116,Excellent,Male,96,Moderate,Beginner,Laboratory Technician,Excellent,Married,2075,18725,3,No,23,4,Good,Medium,10,4,Best,4,2,0,3,46-60
88,30,No,Travel_Rarely,288,Research & Development,Near by,Bacherlors,Life Sciences,117,Best,Male,99,Low,Intermediate,Healthcare Representative,Excellent,Married,4152,15830,1,No,19,3,Poor,High,11,3,Best,11,10,10,8,18-30
89,46,Yes,Travel_Rarely,669,Sales,Near by,Higher Secondary,Medical,118,Best,Male,64,Low,Experienced,Sales Executive,Excellent,Single,9619,13596,1,No,16,3,Excellent,No,9,3,Best,9,8,4,7,46-60
90,40,No,Travel_Frequently,530,Research & Development,Near by,Masters,Life Sciences,119,Best,Male,78,Low,Advanced,Healthcare Representative,Good,Married,13503,14115,1,No,22,4,Excellent,Low,22,3,Good,22,3,11,11,31-45
91,51,No,Travel_Rarely,632,Sales,Faraway,Masters,Marketing,120,Best,Male,71,Moderate,Intermediate,Sales Executive,Excellent,Single,5441,8423,0,Yes,22,4,Excellent,No,11,2,Poor,10,7,1,0,46-60
92,30,No,Travel_Rarely,1334,Sales,Near by,Higher Secondary,Medical,121,Best,Female,63,Low,Intermediate,Sales Executive,Good,Divorced,5209,19760,1,Yes,12,3,Good,High,11,4,Good,11,8,2,7,18-30
93,46,No,Travel_Frequently,638,Research & Development,Near by,Bacherlors,Medical,124,Best,Male,40,Low,Experienced,Healthcare Representative,Poor,Married,10673,3142,2,Yes,13,3,Best,Low,21,5,Good,10,9,9,5,46-60
94,32,No,Travel_Rarely,1093,Sales,Near by,Masters,Medical,125,Good,Male,87,Moderate,Intermediate,Sales Executive,Best,Single,5010,24301,1,No,16,3,Poor,No,12,0,Best,11,8,5,7,31-45
95,54,No,Travel_Rarely,1217,Research & Development,Near by,Masters,Technical Degree,126,Poor,Female,60,Moderate,Experienced,Research Director,Best,Married,13549,24001,9,No,12,3,Poor,Low,16,5,Poor,4,3,0,3,46-60
96,24,No,Travel_Rarely,1353,Sales,Near by,Higher Secondary,Other,128,Poor,Female,33,Moderate,Intermediate,Sales Executive,Best,Married,4999,17519,0,No,21,4,Poor,Low,4,2,Good,3,2,0,2,18-30
97,28,No,Non-Travel,120,Sales,Near by,Bacherlors,Medical,129,Good,Male,43,Moderate,Intermediate,Sales Executive,Best,Married,4221,8863,1,No,15,3,Good,No,5,3,Excellent,5,4,0,4,18-30
98,58,No,Travel_Rarely,682,Sales,Near by,Masters,Medical,131,Excellent,Male,37,Moderate,Advanced,Sales Executive,Best,Single,13872,24409,0,No,13,3,Best,No,38,1,Good,37,10,1,8,46-60
99,44,No,Non-Travel,489,Research & Development,Faraway,Bacherlors,Medical,132,Good,Male,67,Moderate,Intermediate,Laboratory Technician,Good,Married,2042,25043,4,No,12,3,Best,Low,17,3,Excellent,3,2,1,2,31-45
100,37,Yes,Travel_Rarely,807,Human Resources,Near by,Masters,Human Resources,133,Best,Male,63,Moderate,Beginner,Human Resources,Poor,Divorced,2073,23648,4,Yes,22,4,Excellent,No,7,3,Best,3,2,0,2,31-45
101,32,No,Travel_Rarely,827,Research & Development,Near by,High School,Life Sciences,134,Excellent,Male,71,Moderate,Beginner,Research Scientist,Poor,Single,2956,15178,1,No,13,3,Excellent,No,1,2,Best,1,0,0,0,31-45
102,20,Yes,Travel_Frequently,871,Research & Development,Near by,Bacherlors,Life Sciences,137,Excellent,Female,66,Low,Beginner,Laboratory Technician,Excellent,Single,2926,19783,1,Yes,18,3,Good,No,1,5,Best,1,0,1,0,18-30
103,34,No,Travel_Rarely,665,Research & Development,Near by,Masters,Other,138,Poor,Female,41,Moderate,Intermediate,Research Scientist,Best,Single,4809,12482,1,No,14,3,Best,No,16,3,Best,16,13,2,10,31-45
104,37,No,Non-Travel,1040,Research & Development,Near by,Higher Secondary,Life Sciences,139,Best,Male,100,Low,Intermediate,Healthcare Representative,Excellent,Divorced,5163,15850,5,No,14,3,Excellent,Low,17,2,Excellent,1,0,0,0,31-45
105,59,No,Non-Travel,1420,Human Resources,Near by,Masters,Human Resources,140,Best,Female,32,Low,Expert,Manager,Excellent,Married,18844,21922,9,No,21,4,Excellent,Low,30,3,Best,3,2,2,2,46-60
106,50,No,Travel_Frequently,1115,Research & Development,Near by,Bacherlors,Life Sciences,141,Poor,Female,73,Moderate,Expert,Research Director,Good,Married,18172,9755,3,Yes,19,3,Poor,No,28,1,Good,8,3,0,7,46-60
107,25,Yes,Travel_Rarely,240,Sales,Near by,Bacherlors,Marketing,142,Best,Male,46,Low,Intermediate,Sales Executive,Best,Single,5744,26959,1,Yes,11,3,Excellent,No,6,1,Best,6,4,0,3,18-30
108,25,No,Travel_Rarely,1280,Research & Development,Near by,High School,Medical,143,Excellent,Male,64,Low,Beginner,Research Scientist,Excellent,Married,2889,26897,1,No,11,3,Best,Medium,2,2,Best,2,2,2,1,18-30
109,22,No,Travel_Rarely,534,Research & Development,Far,Bacherlors,Medical,144,Good,Female,59,Moderate,Beginner,Laboratory Technician,Excellent,Single,2871,23785,1,No,15,3,Best,No,1,5,Best,0,0,0,0,18-30
110,51,No,Travel_Frequently,1456,Research & Development,Near by,Masters,Medical,145,Poor,Female,30,Low,Experienced,Healthcare Representative,Poor,Single,7484,25796,3,No,20,4,Best,No,23,1,Good,13,12,12,8,46-60
111,34,Yes,Travel_Frequently,658,Research & Development,Near by,Bacherlors,Life Sciences,147,Poor,Male,66,Very Low,Intermediate,Laboratory Technician,Best,Single,6074,22887,1,Yes,24,4,Excellent,No,9,3,Best,9,7,0,6,31-45
112,54,No,Non-Travel,142,Human Resources,Faraway,Bacherlors,Human Resources,148,Excellent,Female,30,High,Advanced,Manager,Excellent,Single,17328,13871,2,Yes,12,3,Best,No,23,3,Best,5,3,4,4,46-60
113,24,No,Travel_Rarely,1127,Research & Development,Far,High School,Life Sciences,150,Good,Male,52,Moderate,Beginner,Laboratory Technician,Best,Married,2774,13257,0,No,12,3,Best,Low,6,2,Best,5,3,1,2,18-30
114,34,No,Travel_Rarely,1031,Research & Development,Near by,Masters,Life Sciences,151,Best,Female,45,Low,Intermediate,Research Scientist,Good,Divorced,4505,15000,6,No,15,3,Best,Low,12,3,Best,1,0,0,0,31-45
115,37,No,Travel_Rarely,1189,Sales,Near by,Bacherlors,Life Sciences,152,Best,Male,87,Moderate,Experienced,Sales Executive,Excellent,Single,7428,14506,2,No,12,3,Poor,No,12,3,Best,5,3,1,3,31-45
116,34,No,Travel_Rarely,1354,Research & Development,Near by,Bacherlors,Medical,153,Best,Female,45,Low,Experienced,Manager,Poor,Single,11631,5615,2,No,12,3,Excellent,No,14,6,Best,11,10,5,8,31-45
117,36,No,Travel_Frequently,1467,Sales,Far,Higher Secondary,Technical Degree,154,Good,Female,92,Moderate,Experienced,Sales Executive,Excellent,Married,9738,22952,0,No,14,3,Best,Low,10,6,Best,9,7,2,8,31-45
